name,Quantity,min_players,max_players,avg_playing_time,adult_only,categories,difficulty,tutorial,image_url,description
Exploding Kittens,,2,5,15,,Animals; Card Games; Humor,1,https://youtu.be/rcVpTb-iPoQ,https://cf.geekdo-images.com/N8bL53-pRU7zaXDTrEaYrw__imagepage/img/qdivOjtkEd8Jma35bdI3mOwaoZg=/fit-in/900x600/filters:no_upscale():strip_icc()/pic2691976.png,
You've Got Crabs,,4,10,20,,Animals; Card Game; Humor; Party Game,1,https://youtu.be/oKZc_n1wiKA,https://cf.geekdo-images.com/CoM8e_rTlygT6O2Xgk9Ekw__imagepage/img/xkPKlqNsybVo4EoCYNMZAN_BaP0=/fit-in/900x600/filters:no_upscale():strip_icc()/pic5886130.jpg,
The Mind,,2,4,20,,Card Game,3,https://youtu.be/HGCYwaZUFvQ,https://cf.geekdo-images.com/q_JGK291hrhnhiRB0667oA__imagepage/img/WUf5FT5SWkXQsf-K1Q3-fHyyJYY=/fit-in/900x600/filters:no_upscale():strip_icc()/pic3979766.png,
Chocobo's Crystal Hunt,,3,5,15,,Card Game; Video Game,1,https://youtu.be/uJ7E6TKMx_8,https://cf.geekdo-images.com/SulIDhaOhhhKsuo1JdHn0g__imagepage/img/1rHVYWStiZF6SkGaFfExLyJYulg=/fit-in/900x600/filters:no_upscale():strip_icc()/pic3162272.png,
Timeline: General Interest,,2,8,15,No,Card Game; Educational; Party Game; Trivia,1,https://youtu.be/dy4DftdFInM,https://cf.geekdo-images.com/E5jsUTUueJK9cIjqktSPKw__imagepage/img/d7ftoYLTVoPJKCkhWFavDp0Rui4=/fit-in/900x600/filters:no_upscale():strip_icc()/pic8286827.png,
Timeline: British History,,2,8,30,No,Card Game; Educational,1,https://youtu.be/dy4DftdFInM,https://cf.geekdo-images.com/WemdtAiyh138JY1utMaycQ__imagepage/img/CJNyHjgdlLHL0wevaCjYU4_zy-E=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7711852.jpg,
Death on the Cards,,3,6,30,No,Card Game; Deduction; Murder/Mystery,2,https://youtu.be/DejqLBo8Wi0,https://cf.geekdo-images.com/kWoiv6mREOKtEv5pc7_h7w__imagepage/img/qf5jE-hzF7rnhH6wf4-ScZFd50k=/fit-in/900x600/filters:no_upscale():strip_icc()/pic5051378.jpg,
Ravine,,3,6,15,,Card Game; Party Game; Cooperative,1,https://youtu.be/xdmHOipZ06Y,https://cf.geekdo-images.com/ENkjxYUIofE6rGl2iT7jvA__imagepage/img/PmeVlKwu1knETZ7jgalwqQchDEw=/fit-in/900x600/filters:no_upscale():strip_icc()/pic8282668.jpg,
The Godfather: Last Family Standing,,3,6,30,,Card Game; Mafia,2,https://youtu.be/odn2atMlMVA,https://cf.geekdo-images.com/EiXwZxsFvRobfIeIUYaP5A__imagepage/img/DfnE-BGT7XIxLJH1slVQ37FsrFo=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6941256.jpg,
Herd Mentality,,4,20,20,No,Party Game,1,https://youtu.be/_rxOJ7Gt3FY?si=rBqLps_sxjgNKLOv,https://cf.geekdo-images.com/85hYrpSl9Aoh2TgMf4CiDA__imagepagezoom/img/oYCZ_YmB_LK98iAe-eNchf9_V1w=/fit-in/1200x900/filters:no_upscale():strip_icc()/pic5509026.png,
Archer: Once You Go Blackmail,,2,4,20,Yes,Card Game; Deduction,2,https://youtu.be/WAiI7G3QdOU,https://cf.geekdo-images.com/ANjCdBN2NE5dSZA2HTI29g__imagepage/img/dc37dep81QNpAGzIbRIvY8qG4U4=/fit-in/900x600/filters:no_upscale():strip_icc()/pic2986375.jpg,
Skull,,3,6,15,No,Party Game; Deduction,1,https://youtu.be/XKZD1iRTAYM?si=6gXPaU752nnm7Poq,https://cf.geekdo-images.com/OPrd2iXm43dir7BwKAMOuQ__imagepagezoom/img/C1oKIyxF_K9lZ_yGfLkD-LYxs9M=/fit-in/1200x900/filters:no_upscale():strip_icc()/pic6097488.jpg,
Yogi,,3,12,15,No,Party; Action / Dexterity,1,https://youtu.be/sZYNs0aex1g?si=ORiIs5Hv525qvDM5,https://cf.geekdo-images.com/u-jJShN_g2NU6MstgAliMQ__imagepagezoom/img/lMcVpRqvNdPEUm_1mo62Z5UQ2Qc=/fit-in/1200x900/filters:no_upscale():strip_icc()/pic3484957.jpg,
Kalaha / Mankala,,2,2,10,No,Abstract Strategy,2,https://youtu.be/OX7rj93m6o8?si=RCuN70Nj7I-K4H53,https://cf.geekdo-images.com/WgKKBuZNWBrgJqPnbsXauQ__imagepagezoom/img/wUFjeKsttzbNJh5OvQQ3PfqduRQ=/fit-in/1200x900/filters:no_upscale():strip_icc()/pic298642.jpg,
Bonanza,,2,7,45,No,Card Game,3,https://youtu.be/O_OsVHe5-OE?si=gUUEwb2AxpDc3YRi,https://cf.geekdo-images.com/8SADtu_4zBH_UJrCo935Iw__imagepagezoom/img/KBvyFY9XExi3cIFgH6Rb9UjIpYU=/fit-in/1200x900/filters:no_upscale():strip_icc()/pic6348964.jpg,
